rank,group_or_event_key,score_ns,member_count,source_member_ids_json
638,1:1184434:1184436,1037105,1,"[""1:1184434:1184436""]"
639,1:2292952:2292954,1033246,1,"[""1:2292952:2292954""]"
640,1:151568:151570,1030836,1,"[""1:151568:151570""]"
641,0:2046263:2046265,1027126,1,"[""0:2046263:2046265""]"
642,1:2069840:2069842,1026846,1,"[""1:2069840:2069842""]"
643,0:434999:435001,1023166,1,"[""0:434999:435001""]"
644,0:2272869:2272871,1021255,1,"[""0:2272869:2272871""]"
645,1:2485136:2485138,1018385,1,"[""1:2485136:2485138""]"
646,1:2040310:2040312,1016135,1,"[""1:2040310:2040312""]"
647,0:1184433:1184435,1015885,1,"[""0:1184433:1184435""]"
648,1:1955174:1955176,1015856,1,"[""1:1955174:1955176""]"
649,0:755559:755561,1013586,1,"[""0:755559:755561""]"
650,1:2487250:2487252,1008515,1,"[""1:2487250:2487252""]"
651,0:796691:796693,1005945,1,"[""0:796691:796693""]"
652,0:2069839:2069841,1002955,1,"[""0:2069839:2069841""]"
653,1:2313406:2313408,1000786,1,"[""1:2313406:2313408""]"
654,1:306142:306144,999645,1,"[""1:306142:306144""]"
655,1:1363482:1363484,994375,1,"[""1:1363482:1363484""]"
656,0:2487249:2487251,994305,1,"[""0:2487249:2487251""]"
657,1:2134846:2134848,990936,1,"[""1:2134846:2134848""]"
658,1:2046264:2046266,987776,1,"[""1:2046264:2046266""]"
659,0:2292951:2292953,985635,1,"[""0:2292951:2292953""]"
660,0:151567:151569,983996,1,"[""0:151567:151569""]"
661,1:2067514:2067516,981426,1,"[""1:2067514:2067516""]"
662,0:2313405:2313407,978476,1,"[""0:2313405:2313407""]"
663,1:2372002:2372004,947846,1,"[""1:2372002:2372004""]"
664,1:305282:305284,942655,1,"[""1:305282:305284""]"
665,1:2119360:2119362,940825,1,"[""1:2119360:2119362""]"
666,1:2304988:2304990,940096,1,"[""1:2304988:2304990""]"
667,1:1868654:1868656,936035,1,"[""1:1868654:1868656""]"
668,1:2048168:2048170,935246,1,"[""1:2048168:2048170""]"
