rank,group_or_event_key,score_ns,member_count,source_member_ids_json
10242,f8225617b36ea3230e6744d9f2bc2c51b7781ae931208c8b1d9deee21d9c45ab,406720,1,"[""f8225617b36ea3230e6744d9f2bc2c51b7781ae931208c8b1d9deee21d9c45ab""]"
10243,fb8b69ea2b0a0e8b1b786f6b38a2aeb00252ac67de4ed4189875624e633ee78f,406720,1,"[""fb8b69ea2b0a0e8b1b786f6b38a2aeb00252ac67de4ed4189875624e633ee78f""]"
10244,707e22ffb0450f7848b272e29819ccde823b5f35cf2a0430f1664a0d6ba33e70,406719,1,"[""707e22ffb0450f7848b272e29819ccde823b5f35cf2a0430f1664a0d6ba33e70""]"
10245,239edb36aa7ffa04b2b3afcbc6d65d7e6e5cc6ff5aff0399c3a837ba37c55cf4,406560,1,"[""239edb36aa7ffa04b2b3afcbc6d65d7e6e5cc6ff5aff0399c3a837ba37c55cf4""]"
10246,803d22c77efeaacc0c4223301ede0496fb5ee437bfbfad9da2d6f7dca9cec02b,406560,1,"[""803d22c77efeaacc0c4223301ede0496fb5ee437bfbfad9da2d6f7dca9cec02b""]"
10247,e636464f7bfabf26e97b55343c63e2978abc0e37a62e77aabd560e8e15bdf1c2,406560,1,"[""e636464f7bfabf26e97b55343c63e2978abc0e37a62e77aabd560e8e15bdf1c2""]"
10248,feac35b85f3f831f3762d6cc4f4429c3ba83019b7bb73a959beb60fb3d40ac28,406560,1,"[""feac35b85f3f831f3762d6cc4f4429c3ba83019b7bb73a959beb60fb3d40ac28""]"
10249,4ccb3ebb214166627e0cc574afb4b3043997e3e3e0ee32561a7deb670e8edd0c,406400,1,"[""4ccb3ebb214166627e0cc574afb4b3043997e3e3e0ee32561a7deb670e8edd0c""]"
10250,e26147cfd90b21fdff5ec6c0fc73b3d413e8eb171cc825a1145a918fa6ba11fa,406400,1,"[""e26147cfd90b21fdff5ec6c0fc73b3d413e8eb171cc825a1145a918fa6ba11fa""]"
10251,eb81e751bd5c0615dbd52357abc29664c9170101d0c079dad2edfb2af0b8b79d,406400,1,"[""eb81e751bd5c0615dbd52357abc29664c9170101d0c079dad2edfb2af0b8b79d""]"
10252,1a55d97024b0203be6dd78939bd4f97173dab58cbdb3c9917d8a4b4cfdae774a,406240,1,"[""1a55d97024b0203be6dd78939bd4f97173dab58cbdb3c9917d8a4b4cfdae774a""]"
10253,56d0acaad1069ce35d48bee2a3c3a29354f94cf0599ecc7f4b21006105d0d2f4,406240,1,"[""56d0acaad1069ce35d48bee2a3c3a29354f94cf0599ecc7f4b21006105d0d2f4""]"
10254,5f2c87dfaf3e1b19a8ab85f3c8a3104d1916b124a0b02e9629c8f97efb055f2e,406240,1,"[""5f2c87dfaf3e1b19a8ab85f3c8a3104d1916b124a0b02e9629c8f97efb055f2e""]"
10255,af91a643286bdbc3b2a1d612840ad7906f2e29de2a780c662ba9488b7106d59a,406240,1,"[""af91a643286bdbc3b2a1d612840ad7906f2e29de2a780c662ba9488b7106d59a""]"
10256,b4295f49c27adc8fd75685d6d4b7c74c66c306f2f346ea8ea9842e57c155b8a6,406240,1,"[""b4295f49c27adc8fd75685d6d4b7c74c66c306f2f346ea8ea9842e57c155b8a6""]"
10257,539c7d5a28d05ba1192128238fab6711a1d5c9a11202fa67afe489c5a82e615a,406080,1,"[""539c7d5a28d05ba1192128238fab6711a1d5c9a11202fa67afe489c5a82e615a""]"
10258,681b8a343b0036c00840071ba4a0f4b39d81aa447c1f54ec27dae02c1d2acb31,406080,1,"[""681b8a343b0036c00840071ba4a0f4b39d81aa447c1f54ec27dae02c1d2acb31""]"
10259,d34f26e3a7528e1484ba22fe3fa9fcc84334f14ea1e0479b5b33bce92e4f3f26,406080,1,"[""d34f26e3a7528e1484ba22fe3fa9fcc84334f14ea1e0479b5b33bce92e4f3f26""]"
10260,fcdc2a26a269f5797a19a9349fe7efcfe55372f70634aa159cc1ab66f7b37f69,406080,1,"[""fcdc2a26a269f5797a19a9349fe7efcfe55372f70634aa159cc1ab66f7b37f69""]"
10261,ab99a931bffd318adeee697086ddc593921c428bc084317f28cf54fee0bf5f5d,406079,1,"[""ab99a931bffd318adeee697086ddc593921c428bc084317f28cf54fee0bf5f5d""]"
10262,1b98904c0cc73fd93dae7a9ffc5606b5c711facfde0c00af665645d2b9d1b591,405920,1,"[""1b98904c0cc73fd93dae7a9ffc5606b5c711facfde0c00af665645d2b9d1b591""]"
10263,1f5c427fc2596ba8caacf542f6425e33852fd64b4d9efa02e4cfe5bb86374ef6,405920,1,"[""1f5c427fc2596ba8caacf542f6425e33852fd64b4d9efa02e4cfe5bb86374ef6""]"
10264,64ce22557de820377c3468fd9e58a2b226f2e443a7a041ff4655a29c8156a766,405920,1,"[""64ce22557de820377c3468fd9e58a2b226f2e443a7a041ff4655a29c8156a766""]"
10265,9d113e00fddceec9f7cea9a110ab823f684e8508623afae8da273fa905be5f8e,405920,1,"[""9d113e00fddceec9f7cea9a110ab823f684e8508623afae8da273fa905be5f8e""]"
10266,9e39f19d929e1c03429441e69cd22e43d04f09071a61f7bd97ff7f2c81f65e49,405920,1,"[""9e39f19d929e1c03429441e69cd22e43d04f09071a61f7bd97ff7f2c81f65e49""]"
10267,1c4ff31c36fa78ee5261de5c1ecb879be018daf19e600c0d4b17f067bfb27a67,405760,1,"[""1c4ff31c36fa78ee5261de5c1ecb879be018daf19e600c0d4b17f067bfb27a67""]"
10268,21567d37a6417cceae1f599c9c5c5472114c7859c5221ffdb38731ab1239724a,405760,1,"[""21567d37a6417cceae1f599c9c5c5472114c7859c5221ffdb38731ab1239724a""]"
10269,2bc1a762775a3097595b91bc7baa6517ee94099448aef537cb86190f9a19d12b,405760,1,"[""2bc1a762775a3097595b91bc7baa6517ee94099448aef537cb86190f9a19d12b""]"
10270,60c616c9cc5442f403b606f1a3575f64b0638cd61dc8a4fd07b039b14934577b,405760,1,"[""60c616c9cc5442f403b606f1a3575f64b0638cd61dc8a4fd07b039b14934577b""]"
10271,bf1829452bcf279ec9481a0211dac796412b16bd81506f17b1e8fa3660f3de10,405760,1,"[""bf1829452bcf279ec9481a0211dac796412b16bd81506f17b1e8fa3660f3de10""]"
10272,52f13e0c635c5cd31e91ab2b2a51faaebc31c2f0108dd47550cd5e232e41d740,405759,1,"[""52f13e0c635c5cd31e91ab2b2a51faaebc31c2f0108dd47550cd5e232e41d740""]"
10273,386976770c14078067f40b05924d2ff98a2330386caceae399d499cbd95938e0,405600,1,"[""386976770c14078067f40b05924d2ff98a2330386caceae399d499cbd95938e0""]"
